l_lim_o2Tpro,l_lim_o2Tneg,o2_eq,Tpro_eq,Tneg_eq
0.0,0.0,0.32336727336202964,207.98924731182652,1487.0995184590624
0.0,0.2,0.37697123921557546,207.98924731182652,1315.9547954544412
0.0,0.4,0.5164358459298546,207.98924731182652,866.0689673438632
0.0,0.6000000000000001,0.6559004526441333,207.98924731182652,416.1831392332868
0.0,0.8,0.7846872292195329,207.98924731182652,0.7431781701444654
0.2,0.0,0.34945151366498944,155.44780990267722,1487.0995184590624
0.2,0.2,0.3800253733510159,187.2270905799076,1338.6524536359645
0.2,0.4,0.5164358459298546,207.98924731182652,866.0689673438632
0.2,0.6000000000000001,0.6559004526441333,207.98924731182652,416.1831392332868
0.2,0.8,0.7846872292195329,207.98924731182652,0.7431781701444654
0.4,0.0,0.4165753885042521,17.332841097609847,1487.0995184590624
0.4,0.2,0.4165753885042521,17.332841097609847,1487.0995184590624
0.4,0.4,0.5275183413291487,132.64988883674852,948.4316538586822
0.4,0.6000000000000001,0.6559004526441333,207.98924731182652,416.1831392332868
0.4,0.8,0.7846872267299506,207.98924731182652,0.7431781701444654
0.6000000000000001,0.0,0.4249486559198354,0.10394265232974978,1487.0995184590624
0.6000000000000001,0.2,0.4249486559198354,0.10394265232974978,1487.0995184590624
0.6000000000000001,0.4,0.5470159833122548,0.10394265232974978,1093.3338727700418
0.6000000000000001,0.6000000000000001,0.6750113093072815,78.0726870935907,558.2108540813979
0.6000000000000001,0.8,0.7898262335573278,197.41436462948002,0.7431781701444654
0.8,0.0,0.4249487365969937,0.10394265232974978,1487.0995184590624
0.8,0.2,0.4249487365969937,0.10394265232974978,1487.0995184590624
0.8,0.4,0.5470159833122548,0.10394265232974978,1093.3338727700418
0.8,0.6000000000000001,0.6864805900265333,0.10394265232974978,643.4480446594657
0.8,0.8,0.8225042772854139,23.495485350430304,167.99005430411881
