rho_Tneg,o2_eq,Tneg_eq
3162.2776601683795,0.868834122987432,2039.7395260644305
4281.332398719395,0.7561421742032781,2403.018703743111
5796.393953384967,0.6416012315962449,2767.081922671566
7847.599703514615,0.5343777741279071,3115.694226643894
10624.678308940409,0.4348028757355965,3435.4523869705113
14384.498882876629,0.3475627066622378,3717.232603837969
19474.830399087572,0.27316247495630874,3956.940983446361
26366.508987303554,0.21170085027980065,4154.869315224708
35696.98846826063,0.1624664653405255,4314.22405090162
48329.30238571752,0.12358681221187028,4440.013807111897
65431.89129712969,0.0932368096179693,4537.7545363201925
88586.67904100832,0.07009771283260699,4612.717885781596
119935.39462092356,0.0524772986814743,4669.6910233473545
162377.67391887208,0.03903142510348848,4712.7632594087845
219839.26488622892,0.029042613400234073,4745.032399301013
297635.14416313195,0.021561853265703826,4769.174224144363
402961.1320200396,0.015971406051938943,4787.157120432962
545559.4781168514,0.011825749944802302,4800.541236752624
738619.9822079359,0.008743997999951944,4810.489440426877
1000000.0,0.00648129716080792,4817.804000616326
