rho_Tneg,o2_eq,test_eq,Tpos_eq,Tpro_eq,Tneg_eq
3162.2776601683795,0.5780893860108473,0.0,0.0,0.0,1359.9813529360754
4281.332398719395,0.5027850680927245,0.0,0.0,0.0,1602.1557339889841
5796.393953384967,0.42782325332094456,0.0,0.0,0.0,1844.8245735661474
7847.599703514615,0.35620709709002,0.0,0.0,0.0,2077.2183170572407
10624.678308940409,0.29002188294537884,0.0,0.0,0.0,2290.366852340967
14384.498882876629,0.2317507763770819,0.0,0.0,0.0,2478.2096653563544
19474.830399087572,0.182050630126982,0.0,0.0,0.0,2638.008783429133
26366.508987303554,0.14130185497509873,0.0,0.0,0.0,2769.931204361037
35696.98846826063,0.1082961098602161,0.0,0.0,0.0,2876.1776960846746
48329.30238571752,0.08234246594924444,0.0,0.0,0.0,2960.036950560628
65431.89129712969,0.06209093499618251,0.0,0.0,0.0,3025.201671380219
88586.67904100832,0.04659535135704767,0.0,0.0,0.0,3075.2023741866565
119935.39462092356,0.03487184104496167,0.0,0.0,0.0,3113.189101448135
162377.67391887208,0.026030581922643344,0.0,0.0,0.0,3141.840377355927
219839.26488622892,0.01934753957277865,0.0,0.0,0.0,3163.375216764057
297635.14416313195,0.014342208438874175,0.0,0.0,0.0,3179.493924641438
402961.1320200396,0.010667660566717255,0.0,0.0,0.0,3191.3884311567376
545559.4781168514,0.007883187343611962,0.0,0.0,0.0,3200.363839088864
738619.9822079359,0.005835260332909249,0.0,0.0,0.0,3206.960363933053
1000000.0,0.004311845302781678,0.0,0.0,0.0,3211.865318677597
