l_lim_o2Tpro,u_lim_o2Tpro,o2_eq,test_eq,Tpos_eq,Tpro_eq,Tneg_eq
0.0,0.1,0.937010231842754,1.099932580645154,0.0,9999.387096774135,0.0
0.0,0.30000000000000004,0.937010231842754,1.099932580645154,0.0,9999.387096774135,0.0
0.0,0.5000000000000001,0.937010231842754,1.099932580645154,0.0,9999.387096774135,0.0
0.0,0.7000000000000001,0.937009991045742,1.099932580645154,0.0,9999.387096774135,0.0
0.0,0.9000000000000001,0.9370099890734273,1.099932580645154,0.0,9999.387096774135,0.0
0.2,0.30000000000000004,0.937010231842754,1.099932580645154,0.0,9999.387096774135,0.0
0.2,0.5,0.937010231842754,1.099932580645154,0.0,9999.387096774135,0.0
0.2,0.7,0.9370099899984771,1.099932580645154,0.0,9999.387096774135,0.0
0.2,0.8999999999999999,0.9370098717423768,1.099932580645154,0.0,9999.387096774135,0.0
0.4,0.5,0.937010231842754,1.099932580645154,0.0,9999.387096774135,0.0
0.4,0.7,0.9370099992567046,1.099932580645154,0.0,9999.387096774135,0.0
0.4,0.8999999999999999,0.9370099950480552,1.099932580645154,0.0,9999.387096774135,0.0
0.6000000000000001,0.7000000000000001,0.9370099733136332,1.099932580645154,0.0,9999.387096774135,0.0
0.6000000000000001,0.9000000000000001,0.9370099898307528,1.099932580645154,0.0,9999.387096774135,0.0
0.8,0.9,0.9370099897259716,1.099932580645154,0.0,9999.387096774135,0.0
