l_lim_testTpro,u_lim_testTpro,o2_eq,test_eq,Tpos_eq,Tpro_eq,Tneg_eq
0.0,0.1,0.9458378014604584,1.0403584277735642,0.0,9457.803888703636,0.0
0.0,0.30000000000000004,0.945837791915506,1.040358427772293,0.0,9457.803888981363,0.0
0.0,0.5000000000000001,0.9458378815187719,1.040358427784249,0.0,9457.803886374266,0.0
0.0,0.7000000000000001,0.9458379322360596,1.0403584277910172,0.0,9457.803884898613,0.0
0.0,0.9000000000000001,0.9458377962688052,1.0403584277728768,0.0,9457.803888854723,0.0
0.2,0.30000000000000004,1.099999810796627,0.0,0.0,0.0,0.0
0.2,0.5,1.099999810796627,0.0,0.0,0.0,0.0
0.2,0.7,1.099999810796627,0.0,0.0,0.0,0.0
0.2,0.8999999999999999,1.099999810796627,0.0,0.0,0.0,0.0
0.4,0.5,1.099999810796627,0.0,0.0,0.0,0.0
0.4,0.7,1.099999810796627,0.0,0.0,0.0,0.0
0.4,0.8999999999999999,1.099999810796627,0.0,0.0,0.0,0.0
0.6000000000000001,0.7000000000000001,1.099999810796627,0.0,0.0,0.0,0.0
0.6000000000000001,0.9000000000000001,1.099999810796627,0.0,0.0,0.0,0.0
0.8,0.9,1.099999810796627,0.0,0.0,0.0,0.0
