l_lim_o2Tneg,u_lim_o2Tneg,o2_eq,Tneg_eq
0.0,0.1,0.0256571406280447,2775.223356862329
0.0,0.30000000000000004,0.07692028169095202,2609.5342280878103
0.0,0.5000000000000001,0.1282665668051763,2443.840205316339
0.0,0.7000000000000001,0.17966947022731922,2278.146427964898
0.0,0.9000000000000001,0.2312448722231596,2112.4512235695443
0.2,0.30000000000000004,0.2252144830620553,2130.1224814366988
0.2,0.5,0.2768859392463037,1964.3726753384635
0.2,0.7,0.3280579009566761,1798.6824959443356
0.2,0.8999999999999999,0.37968963174649706,1632.9842742641156
0.4,0.5,0.4256503562746334,1484.8997112054565
0.4,0.7,0.4761384971278888,1319.2299842339462
0.4,0.8999999999999999,0.5280866990550721,1153.5180163220862
0.6000000000000001,0.7000000000000001,0.6249713347134037,839.7737239166878
0.6000000000000001,0.9000000000000001,0.6774654352844244,674.0379316268401
0.8,0.9,0.8251025106805219,194.58262909126975
