Case ,lltestTpro,ultestTpro,llo2Tpro,ulo2Tpro,lltestTpos,ultestTpos,llo2Tpos,ulo2Tpos,llo2Tneg,ulo2Tneg,Tpro-Tneg_case,Tpro-Tpos_case,Tpro-Tneg_outcome,Tpro-Tpos_outcome
1,0,0.1,0,1,0,0.1,0,1,0,1,1,1,Coexist,Coexist (Need Both extinct)
2,0,0.1,0,1,0,0.3,0,1,0,1,1,2,Coexist,Coexist
3,0,0.1,0.4,1,0,0.1,0.6,1,0,1,1,3,Coexist?,Coexist?
4,0,0.1,0,1,0,0.1,0.6,1,0,1,1,4,Coexist,Tpos extinct?
5,0,0.3,0,0.5,0,0.1,0,0.5,0.6,1,2,1,Coexist,Both extinct?
6,0,0.3,0,0.5,0,0.5,0,0.5,0.6,1,2,2,Coexist,Coexist?
7,0,0.3,0.4,0.5,0,0.3,0.6,0.5,0.6,1,2,3,Coexist?,Coexist?
8,0,0.3,0,0.5,0,0.3,0.6,0.5,0.6,1,2,4,Coexist,Tpos extinct?
9,0,1,0,1,0,1,0,1,0,1,3,1,Tpro extinct,Both extinct?
10,0,1,0,1,0,1.1,0,1,0,1,3,2,Tpro extinct,Coexist??
11,0,1,0.4,1,0,1,0.6,1,0,1,3,3,Tpro extinct/?,Coexist
12,0,1,0,1,0,1,0.6,1,0,1,3,4,Tpro extinct,Tpos extinct
13,0,0.3,0,1,0,0.1,0,1,0,1,4,1,Tpro extinct,Both extinct
14,0,0.3,0,1,0,0.5,0,1,0,1,4,2,Tpro extinct,Coexist?
15,0,0.3,0.4,1,0,0.3,0.6,1,0,1,4,3,Tpro extinct,Coexist?
16,0,0.3,0,1,0,0.3,0.6,1,0,1,4,4,Tpro extinct,Tpos extinct?
17,0,0.1,0,0.5,0,0.1,0,0.5,0.8,1,6,1,Tneg almost extinct,Both extinct?
18,0,0.1,0,0.5,0,0.3,0,0.5,0.8,1,6,2,Tneg almost extinct,Coexist
19,0,0.1,0.4,0.5,0,0.1,0.6,0.5,0.8,1,6,3,Tneg almost extinct,Coexist
20,0,0.1,0,0.5,0,0.1,0.6,0.5,0.8,1,6,4,Tneg almost extinct,Tpos extinct
