Case,lltestTpro,ultestTpro,llo2Tpro,ulo2Tpro,llo2Tneg,ulo2Tneg,p_o2,1:1outcome,Tp test limitation,T- o2 limitation,o2 production
1,0,0.1,0,1,0,1,0.11,Coexist,No,No,Normal
4,0,0.3,0,1,0,1,0.11,Tpro extinct,Moderate,No,Normal
3,0,1,0,1,0,1,0.11,Tpro extinct,Severe,No,Normal
10,0,0.1,0,1,0.6,1,0.11,Tneg extinct,No,High,Normal
11,0,0.3,0,1,0.6,1,0.11,Tneg extinct,Moderate,High,Normal
12,0,1,0,1,0.6,1,0.11,NA,Severe,High,Normal
6,0,0.1,0,1,0.8,1,0.11,Tneg extinct,No,Severe,Normal
2,0,0.3,0,1,0.8,1,0.11,Tneg extinct,Moderate,Severe,Normal
8,0,1,0,1,0.8,1,0.11,NA,Severe,Severe,Normal
13,0,0.1,0,1,0,1,0.0675,NA,No,No,Poor
14,0,0.3,0,1,0,1,0.0675,NA,Moderate,No,Poor
15,0,1,0,1,0,1,0.0675,NA,Severe,No,Poor
7,0,0.1,0,1,0.6,1,0.0675,NA,No,High,Poor
5,0,0.3,0,1,0.6,1,0.0675,NA,Moderate,High,Poor
9,0,1,0,1,0.6,1,0.0675,NA,Severe,High,Poor
16,0,0.1,0,1,0.8,1,0.0675,NA,No,Severe,Poor
17,0,0.3,0,1,0.8,1,0.0675,NA,Moderate,Severe,Poor
18,0,1,0,1,0.8,1,0.0675,NA,Severe,Severe,Poor
